Provider,Industry,BUSINESS,BOP,WC,UMB,AUTO,IM,Cyber
AmTrust,Contractors,Appliances and Accessories Installation or Service or Repair - Household (0t including TV or Radio) (electronic install),0.5,1,0.5,0.5,1,1
AmTrust,Contractors,Carpentry Interior,1,0.5,1,1,1,1
AmTrust,Contractors,Dry Wall or Wallboard Installation,1,0.5,1,1,1,1
AmTrust,Contractors,Electrical Work Within Buildings,1,1,1,1,1,1
AmTrust,Contractors,Fence Erection Contractors (Only applies to risks that install or erect fences.),0.5,0.5,0.5,1,1,1
AmTrust,Contractors,Floor Covering Installation - 0t Ceramic Tile or Stone,1,1,1,1,1,1
AmTrust,Contractors,"Glass Dealers and Glaziers - Sales and Installation (Includes bending, grinding, beveling or silvering of plate glass.)",1,0.5,1,1,1,1
AmTrust,Contractors,"Heating or Combined Heating and Air Conditioning Systems or Equipment - Dealers or Distributors and Installation, Servicing or Repair",1,1,1,1,1,1
AmTrust,Contractors,House Furnishings Installation - 0t Otherwise Classified (Includes incidental upholstering and floor covering installation),0.5,1,0.5,1,1,1
AmTrust,Contractors,Landscape Gardening 0 Tree Removal or Excavation,1,1,1,1,1,1
AmTrust,Contractors,Painting - Interior Buildings or Structures,1,0.5,1,1,1,1
AmTrust,Contractors,Plumbing - Commercial (0t Industrial),1,1,1,1,1,1
AmTrust,Contractors,Plumbing - Residential or Domestic,1,1,1,1,0.5,1
AmTrust,Contractors,"Refrigeration Systems or Equipment Dealers and Distributors and Installation, Servicing or Repair 0 LPG Commercial",1,0.5,1,1,1,1
AmTrust,Habitation Apartments,"Apartment Building - 4 families or fewer, with mercantile or office occupancy (0 boarding houses, assisted living or more than 10% undergraduate student at any location)",0.5,0,0.5,0.5,1,0.5
AmTrust,Habitation Apartments,Apartment Building - Over 4 families with mercantile or office occupancy (0 assisted living or more than 10% undergraduate student at any location),0.5,0,0.5,0.5,1,0.5
AmTrust,Habitation Apartments,"Apartment Building - Over 4 families with 0 mercantile or office occupancy (0 boarding houses, assisted living or more than 10% undergraduate student housing at any location)",0.5,0,0.5,0.5,1,0.5
AmTrust,Habitation Condominium,Condominium Residential Condominium (Association risk only)*,0.5,0,0.5,0.5,1,1
AmTrust,Habitation Townhouse,"Townhouses or Similar Associations Over 4 families with mercantile or office occupancy (0 daycare, eldercare, assisted living or professional care operations, undergraduate student housing, rooming or boarding housing)",0.5,0,0.5,0.5,1,1
AmTrust,Habitation Townhouse,"Townhouses or Similar Associations - Over 4 families with 0 mercantile or office occupancy (0 daycare, eldercare, assisted living or professional care operations, undergraduate student housing, rooming or boarding housing)",0.5,0,0.5,0.5,1,1
AmTrust,Office,Accounting Services Office CPAs,1,1,1,0.5,1,1
AmTrust,Office,Accounting Services Office Except CPAs,1,1,1,0.5,1,1
AmTrust,Office,Advertising and Related Services Office,1,1,1,0.5,1,1
AmTrust,Office,Bookkeeping Services Office,1,1,1,0.5,1,1
AmTrust,Office,Credit Reporting Agencies Office,1,1,1,0.5,1,1
AmTrust,Office,Engineers or Architects Office Consulting - 0t engaged in actual construction.,1,1,1,1,1,1
AmTrust,Office,Insurance Agents Office,1,1,1,1,1,1
AmTrust,Office,Interior Decorators Office,1,1,1,1,1,1
AmTrust,Office,Lawyers Office,1,1,1,1,1,1
AmTrust,Office,Medical Office,1,1,1,1,1,1
AmTrust,Office,Offices Billing Services Office,1,1,1,0.5,1,1
AmTrust,Office,Offices Claims Adjusters-Independent,1,1,1,0.5,1,1
AmTrust,Office,Offices Commercial Artists Offices,1,1,1,0.5,1,1
AmTrust,Office,Offices Graphic Design Services Office,1,1,1,0.5,1,1
AmTrust,Office,Offices Medical Acupuncturists - Office,1,1,1,1,1,1
AmTrust,Office,Offices Medical - Audiologists Office,1,1,1,1,1,1
AmTrust,Office,Offices Medical - Chiropractors Office,1,1,1,1,1,1
AmTrust,Office,Offices Medical - Dentists and Dental Surgeons Office,1,1,1,1,1,1
AmTrust,Office,Offices Medical - Nutritionists Office,1,1,1,1,1,1
AmTrust,Office,Offices - Medical - Ophthalmologists - Office,1,1,1,1,1,1
AmTrust,Office,Offices Medical - Optometrists Office*,1,1,1,1,1,1
AmTrust,Office,Offices Medical - Orthodontist Office,1,1,1,1,1,1
AmTrust,Office,Offices Medical - Osteopaths - Office,1,1,1,1,1,1
AmTrust,Office,Offices Medical Physical Therapists - Office,1,1,1,1,1,1
AmTrust,Office,Offices Medical - Podiatrists - Office,1,1,1,1,1,1
AmTrust,Office,Offices Medical Psychologists Office,1,1,1,1,1,1
AmTrust,Office,Offices Real Estate Appraisers Office,1,1,1,1,1,1
AmTrust,Office,Offices Tax Preparation Services Office,1,1,1,0.5,1,1
AmTrust,Office,Offices Actuarial Consultants,1,1,1,0.5,1,1
AmTrust,Office,Offices Consultants-Comm/Media/PR/Image Office,0.5,1,0.5,0.5,1,1
