Industry,Business ,,BOP,Monoline Property,Monoline GL,WC,Auto
Real estates,Commerical Real estate,"Buildings will be subject to the following requirements:
• Building age greater than 45 years may require additional underwriting
review o Roof, plumbing, HVAC, and wiring must have been
replaced/updated in the past 30 years. No aluminum wiring is to
be present.
• Building age must be less than 100 years.
• Certain classifications have a lower threshold as noted below.
Additionally, there may be regional variance driven by catastrophe and
other underwriting strategies. ",1,1,1,,
,Named Insured,Named Insured must not include property manager or developer,1,1,1,,
,,Any habitational occupancies should be classified as “Mixed Use” in the,1,1,1,,
,,"Tenant operations that severely increase the property and/or premises
exposure of the building owner may make the building ineligible",1,1,1,,
,,Minimum occupancy rate of 70%,1,1,1,,
,,"Tenants must maintain general liability insurance with limits at least equal to
the insured’s primary General Liability limit of insurance as well as naming
building owner(s) as an Additional Insured.",1,,1,,
,General,Armed security on premises,0,,0,0,
,,Tenants open 24 hours,0,0,0,,
,,Seasonal tenants (open less than eight months per year),0,0,0,,
,,"Processing, handling, sale, distribution or consumption
of marijuana",0,0,0,0,
,Retial,"Any risk where more than 25% of the total square
footage is dedicated to the handling, sale, or
distribution of Hemp or Cannabidiol (CBD) products",0,0,0,0,
,,"Sale, rental, repair or service of weapons, firearms, guns
or ammunition",0,0,0,0,
,,Pawnshops or cash for gold,0,0,0,0,
,,Flea markets,0,0,0,0,
,,Adult entertainment or products,0,0,0,,
,,"Check cashing, paycheck loan services or wire/money transfer services",0,0,0,,
,,"Bars, taverns, or night clubs, and hookah/shisha bars, lounges, or cafes",0,0,0,0,
